Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"12","Auditor 1","Bio Medica Laboratories Limited","bio-medica.co.ke","Yes","No","No","3.1 out of 10","43","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Bio_Medica_Laboratories_Limited/screenshots/Bio_Medica_Laboratories_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"13","Auditor 1","Q-Line Biotech Limited","qlinebiotech.com","Yes","No","No","6 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Q_Line_Biotech_Limited/screenshots/Q_Line_Biotech_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"14","Auditor 1","Teamtech Formwork Solutions Limited","Not Found","No","No","No","3.8 out of 10","39","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Teamtech_Formwork_Solutions_Limited/screenshots/Teamtech_Formwork_Solutions_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"15","Auditor 1","NFP Sampoorna Foods Limited","Not Found","No","No","No","4.2 out of 10","36","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/NFP_Sampoorna_Foods_Limited/screenshots/NFP_Sampoorna_Foods_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"16","Auditor 1","RFBL Flexi Pack Limited","Not Found","No","No","No","2.3 out of 10","48","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/RFBL_Flexi_Pack_Limited/screenshots/RFBL_Flexi_Pack_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"17","Auditor 1","Simca Advertising Limited","simcaadvertising.com","Yes","No","No","6 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Simca_Advertising_Limited/screenshots/Simca_Advertising_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"18","Auditor 1","Value 360 Communications Limited","Not Found","No","No","No","1.2 out of 10","55","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Value_360_Communications_Limited/screenshots/Value_360_Communications_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"19","Auditor 1","Amba Auto Sales and Services Limited","Not Found","No","No","No","3.4 out of 10","41","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Amba_Auto_Sales_and_Services_Limited/screenshots/Amba_Auto_Sales_and_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"20","Auditor 1","Adisoft Technologies Limited","adisoft.lt","Yes","No","No","5.8 out of 10","26","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Adisoft_Technologies_Limited/screenshots/Adisoft_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"21","Auditor 1","Vivid Electromech Limited","Not Found","No","No","No","2 out of 10","50","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Vivid_Electromech_Limited/screenshots/Vivid_Electromech_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"22","Auditor 1","Apsis Aerocom Limited","apsisaerocom.com","Yes","No","No","1 out of 10","62","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Apsis_Aerocom_Limited/screenshots/Apsis_Aerocom_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"23","Auditor 1","Srinibas Pradhan Constructions Limited","Not Found","No","No","No","4.1 out of 10","37","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Srinibas_Pradhan_Constructions_Limited/screenshots/Srinibas_Pradhan_Constructions_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"24","Auditor 1","Acetech E-Commerce Limited","Not Found","No","No","No","7.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Acetech_E_Commerce_Limited/screenshots/Acetech_E_Commerce_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"25","Auditor 1","Striders Impex Limited","Not Found","No","No","No","5.5 out of 10","28","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Striders_Impex_Limited/screenshots/Striders_Impex_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"26","Auditor 1","Yaap Digital Limited","Not Found","No","No","No","5.7 out of 10","27","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Yaap_Digital_Limited/screenshots/Yaap_Digital_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"27","Auditor 1","Mobilise App Lab Limited","mobilise.biz","Yes","No","No","1 out of 10","62","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Mobilise_App_Lab_Limited/screenshots/Mobilise_App_Lab_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"28","Auditor 1","Manilam Industries India Limited","manilam.com","Yes","No","No","6.6 out of 10","21","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Manilam_Industries_India_Limited/screenshots/Manilam_Industries_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"29","Auditor 1","Marushika Technology Limited","Not Found","No","No","No","7.6 out of 10","15","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Marushika_Technology_Limited/screenshots/Marushika_Technology_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"30","Auditor 1","Biopol Chemicals Limited","Not Found","No","No","No","1.5 out of 10","53","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Biopol_Chemicals_Limited/screenshots/Biopol_Chemicals_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"31","Auditor 1","Brandman Retail Limited","brandmanretail.com","Yes","No","No","1 out of 10","62","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Brandman_Retail_Limited/screenshots/Brandman_Retail_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"32","Auditor 1","Grover Jewells Limited","Not Found","No","No","No","2.8 out of 10","45","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Grover_Jewells_Limited/screenshots/Grover_Jewells_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"33","Auditor 1","C K K Retail Mart Limited","ckkretailmart.com","Yes","No","No","1.8 out of 10","51","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/C_K_K_Retail_Mart_Limited/screenshots/C_K_K_Retail_Mart_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"34","Auditor 1","KRM Ayurveda Limited","Not Found","No","No","No","2.5 out of 10","47","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/KRM_Ayurveda_Limited/screenshots/KRM_Ayurveda_Limited_Homepage_WAVE_Overlay.png)","N/A","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
